"alarm_id","alarm_name","alarm_description"
"39064","Generic Exploit Host Webpage","This signature detects a landing page used by an exploit kit. Browser fingerprinting or attempts to direct a browser to download targeted malware are examples of behaviors that could indicate an exploit kit landing page and trigger this signature."
"33343","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted EMF files. The vulnerability is due to the lack of proper checks on EMF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted EMF file. A successful attack could lead to memory corruption."
"33560","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"33895","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"34401","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"34483","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"34536","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"35842","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"35956","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted EMF files. The vulnerability is due to the lack of proper checks on EMF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted EMF file. A successful attack could lead to memory corruption."
"36045","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted EMF files. The vulnerability is due to the lack of proper checks on EMF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted EMF file. A successful attack could lead to memory corruption."
"36073","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted EMF files. The vulnerability is due to the lack of proper checks on EMF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted EMF file. A successful attack could lead to memory corruption."
"36281","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36285","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36286","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36464","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36697","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36772","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36776","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted TTF files. The vulnerability is due to the lack of proper checks on TTF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted TTF file. A successful attack could lead to memory corruption."
"36804","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted JPG files. The vulnerability is due to the lack of proper checks on JPG files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted JPG file. A successful attack could lead to memory corruption."
"36813","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36831","Microsoft Internet Explorer Security Feature Bypass Vulnerability","Microsoft Internet Explorer is prone to a security feature bypass vulnerability while parsing certain crafted CHM files. The vulnerability is due to the lack of proper checks in CHM files, leading to an exploitable security feature bypass. An attacker could exploit the vulnerability by sending a crafted CHM file. A successful attack could lead to remote code execution with the privileges of the current logged-in user."
"36835","Microsoft Jet Database Engine Remote Code Execution Vulnerability","The Microsoft Jet Database Engine is prone to a remote code execution vulnerability while parsing certain crafted JS files. The vulnerability is due to the lack of proper checks on user input field in JS files, leading to an exploitable code execution. An attacker could exploit the vulnerability by sending a crafted JS file. A successful attack could lead to remote code execution with the privileges of the currently logged-in user."
"36861","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted PDF files. The vulnerability is due to the lack of proper checks on PDF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted PDF file. A successful attack could lead to memory corruption."
"36946","Adobe Reader Memory Corruption Vulnerability","Adobe Reader is prone to a memory corruption vulnerability while parsing certain crafted GIF files. The vulnerability is due to the lack of proper checks on GIF files, leading to a memory corruption vulnerability. An attacker could exploit the vulnerability by sending a crafted GIF file. A successful attack could lead to memory corruption."
"36950","Windows OLE Remote Code Execution Vulnerability","Microsoft Windows OLE is prone to a remote code execution vulnerability while parsing certain files with specially crafted OLE objects. The vulnerability is due to incorrect handling of embedded OLE Objects, leading to an exploitable remote code execution. An attacker could exploit the vulnerability by sending a file with a crafted OLE object. A successful attack could lead to remote code execution with the privileges of the current logged-in user."
