sign_id,alarm_name,alarm_desc,CV_Exposures
28001,HTTP: Trend Micro Threat Discovery Appliancelogoff.cgi Directory Traversal Vulnerability,This filter detects an attempt toexploit a directory traversal vulnerability in Trend Micro Threat DiscoveryAppliance.,CVE-2016-7552 CVSS 10.0
28002,HTTP: Trend Micro Threat Discovery Applianceadmin_sys_time.cgi Command Injection Vulnerability,This filter detects an attempt toexploit a command injection vulnerability in Trend Micro Threat DiscoveryAppliance.,
28401,HTTP: MediaWiki SyntaxHighlight Extension CodeInjection Vulnerability,This filter detects an attempt toexploit a command injection vulnerability in MediaWiki.,CVE-2017-0372
28535,HTTPS: Trend Micro InterScan Web SecuritytestConfiguration Command Injection (ZDI-17-232),This filter detects an attempt toexploit a command injection vulnerability in Trend Micro InterScan Web SecurityVirtual Appliance (IWSVA).,
28549,HTTP: Microsoft Windows Animated Cursor BufferOverflow Vulnerability,This filter detects an attempt toexploit a buffer overflow vulnerability in Microsoft Windows.,CVE-2007-0038 CVSS 9.3
28550,HTTP: Sun Java Runtime Environment /Java DevelopmentKit Splashscreen PNG Processing Buffer Overflow,This filter detects an attempt toexploit a buffer overflow vulnerability in Sun Java Development Kit (JDK) andJava Runtime Environment (JRE).,CVE-2009-1097 CVSS 9.3
28551,SCCP: Digium Asterisk chan_skinny SCCP packetDenial-of-Service Vulnerability,This filter detects an attempt toexploit a denial-of-service vulnerability in Digium Asterisk.,
28556,DNS: Microsoft DNS Server Response ValidationVulnerability,This filter detects an attempt toexploit a DNS Server Response Validation Vulnerability in Microsoft DNS Server.,CVE-2009-0234 CVSS 6.4
28609,HTTP: Squid Proxy Usage,This filter detects usage of theSquid web proxy application.,
28610,HTTP: Microsoft Embedded OpenType EOT Font IntegerOverflow Vulnerability,This filter detects an attempt toexploit a privilege escalation vulnerability in Microsoft Windows.,CVE-2010-1883 CVSS 9.3
28612,HTTP: Mozilla Firefox Animated PNG Integer OverflowVulnerability,This filter detects an attempt toexploit an integer overflow vulnerability in Mozilla Firefox.,CVE-2008-4064 CVSS 10.0
28625,HTTP: JavaScript Compressor Tool Usage,This filter detects usage of DeanEdward's JavaScript compressor tool.,
28627,HTTP: Microsoft Windows NTFS $MFT Denial-of-ServiceVulnerability,This filter detects an attempt toexploit a denial-of-service vulnerability in Microsoft Windows.,
28632,OpenVPN: OpenVPN P_CONTROL Denial-of-ServiceVulnerability,This filter detects an attempt toexploit a denial-of-service vulnerability in OpenVPN.,CVE-2017-7478 CVSS 5.0
28633,HTTP: HPE Network Automation FileServlet InformationDisclosure Vulnerability (ZDI-17-330),This filter detects an attempt toexploit an information disclosure vulnerability in HPE Network Automation.,CVE-2017-5811
28634,HTTPS: HPE Network Automation FileServlet InformationDisclosure Vulnerability (ZDI-17-330),This filter detects an attempt toexploit an information disclosure vulnerability in HPE Network Automation.,CVE-2017-5811
28635,HTTP: JustSystems Ichitaro Buffer OverflowVulnerability,This filter detects an attempt toexploit a buffer overflow vulnerability in JustSystems Ichitaro.,CVE-2017-2790 CVSS 7.5
28636,HTTP: Boonex Dolphin Cookie Authentication BypassVulnerability,This filter detects an attempt toexploit an authentication bypass vulnerability in Boonex Dolphin.,
28638,DNS: TeamViewer Remote Access Tool DNS Request,This filter detects a DNS requestfrom the TeamViewer Remote Access Tool.,
28639,HTTP: TeamViewer Beacon,This filter detects a HTTPrequest from the TeamViewer Remote Access Tool.,
28640,TLS: TeamViewer Remote Access Tool CertificateExchange,This filter detects a certificateexchange from the TeamViewer Remote Access Tool and the TeamViewer Servers.,
28641,Tunneling: TeamViewer Remote Access (UDP),This filter detects anestablished connection between two endpoints using the TeamViewer Remote AccessTool.,
28642,Tunneling: TeamViewer Remote Access (ICMP),This filter detects anestablished connection between two endpoints using the TeamViewer Remote AccessTool.,
28644,DNS: Request for ddns Domain,This filter detects a DNS requestto a dynamic DNS (ddns) domain.,
28645,DNS: Request for gotdns Domain,This filter detects a DNS requestto a dynamic DNS (gotdns) domain.,
28646,DNS: Request for no-ip Domain,This filter detects a DNS requestto a dynamic DNS (no-ip) domain.,
28647,DNS: Request for dyndns Domain,This filter detects a DNS requestto a dynamic DNS (dyndns) domain.,
