sign_id,name
42636,XOR 0x8f encrypted portable executable file download attempt
42698,XOR 0xcd encrypted portable executable file download attempt
42680,XOR 0xbb encrypted portable executable file download attempt
42729,XOR 0xec encrypted portable executable file download attempt
42695,XOR 0xca encrypted portable executable file download attempt
42564,XOR 0x47 encrypted portable executable file download attempt
42519,XOR 0x1a encrypted portable executable file download attempt
42566,XOR 0x49 encrypted portable executable file download attempt
42567,XOR 0x4a encrypted portable executable file download attempt
42560,XOR 0x43 encrypted portable executable file download attempt
42561,XOR 0x44 encrypted portable executable file download attempt
42449,Microsoft Internet Explorer deleted object access memory corruption attempt
42448,Microsoft Internet Explorer deleted object access memory corruption attempt
42447,Win.Trojan.Batlopma variant outbound connection attempt
42446,Microsoft Jet DB Engine Buffer Overflow attempt
42445,Microsoft Jet DB Engine Buffer Overflow attempt
42444,Microsoft Jet DB Engine Buffer Overflow attempt
42443,Microsoft Jet DB Engine Buffer Overflow attempt
42442,Microsoft Jet DB Engine Buffer Overflow attempt
42441,Microsoft Jet DB Engine Buffer Overflow attempt
42440,Microsoft Jet DB Engine Buffer Overflow attempt
42699,XOR 0xce encrypted portable executable file download attempt
42637,XOR 0x90 encrypted portable executable file download attempt
42609,XOR 0x74 encrypted portable executable file download attempt
42608,XOR 0x73 encrypted portable executable file download attempt
42689,XOR 0xc4 encrypted portable executable file download attempt
42601,XOR 0x6c encrypted portable executable file download attempt
42600,XOR 0x6b encrypted portable executable file download attempt
42603,XOR 0x6e encrypted portable executable file download attempt
42602,XOR 0x6d encrypted portable executable file download attempt
42605,XOR 0x70 encrypted portable executable file download attempt
42604,XOR 0x6f encrypted portable executable file download attempt
42607,XOR 0x72 encrypted portable executable file download attempt
42606,XOR 0x71 encrypted portable executable file download attempt
42688,XOR 0xc3 encrypted portable executable file download attempt
42712,XOR 0xdb encrypted portable executable file download attempt
42723,XOR 0xe6 encrypted portable executable file download attempt
42511,XOR 0x12 encrypted portable executable file download attempt
42510,XOR 0x11 encrypted portable executable file download attempt
42513,XOR 0x14 encrypted portable executable file download attempt
42512,XOR 0x13 encrypted portable executable file download attempt
42515,XOR 0x16 encrypted portable executable file download attempt
42514,XOR 0x15 encrypted portable executable file download attempt
42517,XOR 0x18 encrypted portable executable file download attempt
42516,XOR 0x17 encrypted portable executable file download attempt
42450,Microsoft Internet Explorer deleted object access memory corruption attempt
42451,MCA Sistemas ScadaBR index.php brute force login attempt
42452,Win.Trojan.Frethog variant outbound connection attempt
42453,Win.Trojan.Frethog variant inbound connection attempt
42454,User-Agent known malicious user-agent string - Frethog
42455,Unitrends Enterprise Backup Appliance password.php command injection attempt
42456,Unitrends Enterprise Backup Appliance password.php command injection attempt
42457,Unitrends Enterprise Backup Appliance password.php command injection attempt
42681,XOR 0xbc encrypted portable executable file download attempt
42747,XOR 0xfe encrypted portable executable file download attempt
42565,XOR 0x48 encrypted portable executable file download attempt
42458,ISC BIND unexpected DNAME CNAME ordering denial of service attempt
42740,XOR 0xf7 encrypted portable executable file download attempt
42683,XOR 0xbe encrypted portable executable file download attempt
42741,XOR 0xf8 encrypted portable executable file download attempt
42599,XOR 0x6a encrypted portable executable file download attempt
42598,XOR 0x69 encrypted portable executable file download attempt
42618,XOR 0x7d encrypted portable executable file download attempt
42619,XOR 0x7e encrypted portable executable file download attempt
42742,XOR 0xf9 encrypted portable executable file download attempt
42727,XOR 0xea encrypted portable executable file download attempt
42591,XOR 0x62 encrypted portable executable file download attempt
42590,XOR 0x61 encrypted portable executable file download attempt
42593,XOR 0x64 encrypted portable executable file download attempt
42592,XOR 0x63 encrypted portable executable file download attempt
42595,XOR 0x66 encrypted portable executable file download attempt
42594,XOR 0x65 encrypted portable executable file download attempt
42597,XOR 0x68 encrypted portable executable file download attempt
42596,XOR 0x67 encrypted portable executable file download attempt
42562,XOR 0x45 encrypted portable executable file download attempt
42459,Adobe Reader PDF embedded null JPEG image
42646,XOR 0x99 encrypted portable executable file download attempt
42563,XOR 0x46 encrypted portable executable file download attempt
42502,XOR 0x09 encrypted portable executable file download attempt
42503,XOR 0x0a encrypted portable executable file download attempt
42500,XOR 0x07 encrypted portable executable file download attempt
42501,XOR 0x08 encrypted portable executable file download attempt
42506,XOR 0x0d encrypted portable executable file download attempt
42507,XOR 0x0e encrypted portable executable file download attempt
42504,XOR 0x0b encrypted portable executable file download attempt
42505,XOR 0x0c encrypted portable executable file download attempt
42508,XOR 0x0f encrypted portable executable file download attempt
42509,XOR 0x10 encrypted portable executable file download attempt
42653,XOR 0xa0 encrypted portable executable file download attempt
42627,XOR 0x86 encrypted portable executable file download attempt
42626,XOR 0x85 encrypted portable executable file download attempt
42625,XOR 0x84 encrypted portable executable file download attempt
42624,XOR 0x83 encrypted portable executable file download attempt
42623,XOR 0x82 encrypted portable executable file download attempt
42622,XOR 0x81 encrypted portable executable file download attempt
42621,XOR 0x80 encrypted portable executable file download attempt
42620,XOR 0x7f encrypted portable executable file download attempt
42568,XOR 0x4b encrypted portable executable file download attempt
42687,XOR 0xc2 encrypted portable executable file download attempt
42629,XOR 0x88 encrypted portable executable file download attempt
42569,XOR 0x4c encrypted portable executable file download attempt
42588,XOR 0x5f encrypted portable executable file download attempt
42589,XOR 0x60 encrypted portable executable file download attempt
42748,XOR 0xff encrypted portable executable file download attempt
42582,XOR 0x59 encrypted portable executable file download attempt
42583,XOR 0x5a encrypted portable executable file download attempt
42580,XOR 0x57 encrypted portable executable file download attempt
42581,XOR 0x58 encrypted portable executable file download attempt
42586,XOR 0x5d encrypted portable executable file download attempt
42587,XOR 0x5e encrypted portable executable file download attempt
42584,XOR 0x5b encrypted portable executable file download attempt
42585,XOR 0x5c encrypted portable executable file download attempt
42640,XOR 0x93 encrypted portable executable file download attempt
42745,XOR 0xfc encrypted portable executable file download attempt
42651,XOR 0x9e encrypted portable executable file download attempt
42612,XOR 0x77 encrypted portable executable file download attempt
42539,XOR 0x2e encrypted portable executable file download attempt
42538,XOR 0x2d encrypted portable executable file download attempt
42537,XOR 0x2c encrypted portable executable file download attempt
42536,XOR 0x2b encrypted portable executable file download attempt
42535,XOR 0x2a encrypted portable executable file download attempt
42534,XOR 0x29 encrypted portable executable file download attempt
42533,XOR 0x28 encrypted portable executable file download attempt
42532,XOR 0x27 encrypted portable executable file download attempt
42531,XOR 0x26 encrypted portable executable file download attempt
42530,XOR 0x25 encrypted portable executable file download attempt
42630,XOR 0x89 encrypted portable executable file download attempt
42631,XOR 0x8a encrypted portable executable file download attempt
42632,XOR 0x8b encrypted portable executable file download attempt
42611,XOR 0x76 encrypted portable executable file download attempt
42634,XOR 0x8d encrypted portable executable file download attempt
42635,XOR 0x8e encrypted portable executable file download attempt
42438,IBM Domino BMP parsing integer overflow attempt
42439,Win.Trojan.Axespec outbound request
42436,TRUFFLEHUNTER TALOS-2017-0330 attack attempt
42437,TRUFFLEHUNTER TALOS-2017-0331 attack attempt
42434,TRUFFLEHUNTER TALOS-2017-0328 attack attempt
42435,TRUFFLEHUNTER TALOS-2017-0330 attack attempt
42432,TRUFFLEHUNTER TALOS-2017-0328 attack attempt
42433,TRUFFLEHUNTER TALOS-2017-0328 attack attempt
42617,XOR 0x7c encrypted portable executable file download attempt
42739,XOR 0xf6 encrypted portable executable file download attempt
42738,XOR 0xf5 encrypted portable executable file download attempt
42614,XOR 0x79 encrypted portable executable file download attempt
42732,XOR 0xef encrypted portable executable file download attempt
42731,XOR 0xee encrypted portable executable file download attempt
42730,XOR 0xed encrypted portable executable file download attempt
42733,XOR 0xf0 encrypted portable executable file download attempt
42615,XOR 0x7a encrypted portable executable file download attempt
42735,XOR 0xf2 encrypted portable executable file download attempt
42734,XOR 0xf1 encrypted portable executable file download attempt
42737,XOR 0xf4 encrypted portable executable file download attempt
42736,XOR 0xf3 encrypted portable executable file download attempt
